 Frame | Yellow | Red | Blue | Green | Orange | Purple | 
85 | 104  | 0 | 0 | 0 | 0 | 109  | 
86 | 104  | 0 | 0 | 0 | 0 | 109  | 
87 | 104  | 0 | 0 | 0 | 0 | 109  | 
88 | 26  | 0 | 0 | 0 | 0 | 109  | 
89 | 104  | 0 | 0 | 0 | 0 | 109  | 
90 | 0 | 0 | 0 | 0 | 0 | 109  | 
91 | 0 | 0 | 0 | 0 | 0 | 109  | 
92 | 111  | 0 | 0 | 0 | 0 | 109  | 
93 | 111  | 0 | 0 | 0 | 0 | 109  | 
94 | 111  | 0 | 0 | 0 | 0 | 109  | 
95 | 111  | 0 | 0 | 0 | 0 | 109  | 
96 | 111  | 0 | 0 | 0 | 0 | 109  | 
97 | 111  | 25  | 0 | 0 | 0 | 0 | 
98 | 111  | 0 | 0 | 0 | 0 | 0 | 
99 | 0 | 0 | 0 | 0 | 0 | 113  | 
100 | 0 | 0 | 0 | 0 | 0 | 113  | 
101 | 111  | 0 | 0 | 0 | 0 | 23  | 
102 | 111  | 0 | 0 | 0 | 0 | 23  | 
103 | 111  | 0 | 0 | 0 | 0 | 113  | 
104 | 111  | 0 | 0 | 0 | 0 | 113  | 
105 | 111  | 0 | 0 | 0 | 0 | 0 | 
106 | 0 | 0 | 0 | 0 | 0 | 0 | 
107 | 0 | 0 | 0 | 0 | 0 | 0 | 
108 | 0 | 0 | 0 | 0 | 0 | 0 | 
109 | 0 | 0 | 0 | 0 | 0 | 0 | 
110 | 0 | 0 | 0 | 0 | 0 | 0 | 
111 | 0 | 0 | 0 | 0 | 0 | 0 | 
112 | 0 | 0 | 0 | 0 | 0 | 0 | 
113 | 0 | 0 | 0 | 0 | 0 | 0 | 
114 | 0 | 0 | 0 | 0 | 0 | 0 | 
115 | 0 | 0 | 0 | 0 | 0 | 0 | 
116 | 0 | 0 | 0 | 0 | 0 | 0 | 
117 | 0 | 0 | 0 | 0 | 0 | 0 | 
118 | 0 | 0 | 0 | 0 | 0 | 147  | 
119 | 0 | 0 | 0 | 0 | 0 | 147  | 
120 | 0 | 0 | 0 | 0 | 0 | 147  | 
121 | 0 | 0 | 0 | 0 | 0 | 147  | 
122 | 0 | 0 | 0 | 0 | 0 | 0 | 
123 | 0 | 0 | 0 | 0 | 0 | 0 | 
124 | 0 | 0 | 0 | 0 | 0 | 0 | 
